step,loss,lr,val_loss,ari
48200,0.002346,0.00030695,,
48300,0.002942,0.00030674,,
48400,0.002790,0.00030652,,
48500,0.002777,0.00030631,,
48600,0.005043,0.00030610,,
48700,0.002345,0.00030589,,
48800,0.002832,0.00030568,,
48900,0.002751,0.00030546,,
49000,0.003075,0.00030525,,
49100,0.002213,0.00030504,,
49200,0.003558,0.00030483,,
49300,0.003029,0.00030462,,
49400,0.003416,0.00030441,,
49500,0.002110,0.00030420,,
49600,0.001935,0.00030398,,
49700,0.002214,0.00030377,,
49800,0.002681,0.00030356,,
49900,0.001848,0.00030335,,
50000,0.002295,0.00030314,nan,0.046185
